Name	cz	groupcz	logstellarmass	RA	DEC	Tel	F21	e_F21	rms	limflag	confused	F21corr	eF21corr-rand	eF21corr-sys	deconf-mode	groupid-s	groupmass-s	groupid-b	groupmass-b	dens-s	dens-corr-s	dens-b	dens-corr-b	dist-s	f_dist-s	dist-b	f_dist-b
rs0071	6599.3	6601.28	9.39	142.35921000000002	2.0708	AO	0.05	0.0	0.46	1	0	0.0	0.0	0.0	0	10308	13.21	21955	13.12	12.01	12.01	11.99	11.99	0.0	0	0.0	0
rs1320	7111.9	7093.9	10.21	142.42145	2.20565	ALFALFA	0.35	0.0	2.75	1	0	0.0	0.0	0.0	0	10308	13.21	21955	13.12	12.01	12.01	11.99	11.99	0.0	0	0.0	0
rs0072	6831.9	7093.9	9.41	142.44136	2.20161	ALFALFA	0.25	0.0	2.71	1	0	0.0	0.0	0.0	0	10308	13.21	21955	13.12	12.01	12.01	0.0	0.0	0.0	0	0.0	0
rs0073	7131.7	7093.9	8.85	142.45561	2.14396	ALFALFA	0.31	0.0	2.85	1	0	0.0	0.0	0.0	0	10308	13.21	0	0.0	12.01	12.01	0.0	0.0	0.0	0	0.0	0
rs0074	6979.7	7093.9	9.19	142.47187	2.16073	ALFALFA	0.35	0.0	2.88	1	0	0.0	0.0	0.0	0	10308	13.21	0	0.0	12.01	12.01	0.0	0.0	0.0	0	0.0	0
rs0075	6855.2	7093.9	9.97	142.47307	2.2804	GBT	0.17	0.0	1.5	1	0	0.0	0.0	0.0	0	10308	13.21	21955	13.12	12.01	12.01	11.99	11.99	0.0	0	0.0	0
rs0077	5154.9	5146.58	9.85	142.563	4.144019999999999	ALFALFA	6.95	0.06	2.34	0	0	0.0	0.0	0.0	0	11820	11.53	21986	11.67	11.36	11.36	11.37	11.37	1.73	0	1.51	0
rs0080	5248.5	5233.98	10.77	142.9234	4.5001	ALFALFA	0.31	0.0	2.55	1	0	0.0	0.0	0.0	0	11851	12.18	22016	12.13	11.49	11.49	11.51	11.51	0.0	0	0.0	0
rs0083	5037.5	5051.36	8.67	143.09598	2.54815	ALFALFA	3.31	0.06	2.42	0	0	0.0	0.0	0.0	0	0	0.0	20244	11.29	0.0	0.0	11.06	11.06	0.0	0	6.58	0
rs0084	6732.0	6710.33	9.17	143.46913	3.12325	AO	0.18	0.02	0.37	0	0	0.0	0.0	0.0	0	13698	11.17	26209	10.98	12.03	12.03	0.0	0.0	2.8	0	2.96	0
rs0085	4716.3	4708.28	9.15	143.50184	2.47723	ALFALFA	1.76	0.09	2.66	0	0	0.0	0.0	0.0	0	11941	11.23	22112	11.2	11.18	11.18	10.91	10.91	5.79	0	6.08	0
rs0086	6832.0	6845.4	8.95	143.51708	0.38377	ALFALFA	1.2	0.08	2.87	0	0	0.0	0.0	0.0	0	13472	11.13	23714	11.23	11.61	11.66	11.55	11.6	4.23	1	4.53	1
rs0088	4536.5	4661.25	8.69	143.5436	0.258	ALFALFA	4.61	0.12	2.86	0	1	1.78	0.09	1.78	1	0	0.0	20263	12.03	0.0	0.0	11.51	11.53	0.0	0	0.0	0
rs0087	4647.4	4661.25	9.69	143.544	0.24168	ALFALFA	4.61	0.12	2.86	0	1	4.62	0.12	1.71	1	10190	11.61	20263	12.03	11.06	11.14	11.51	11.53	4.54	1	0.0	0
rs0089	4720.9	4661.25	9.85	143.64269	0.08968999999999999	ALFALFA	10.96	0.13	3.13	0	1	11.49	0.13	6.48	1	10190	11.61	20263	12.03	11.06	11.14	11.51	11.53	4.54	1	0.0	0
rs0090	4707.7	4661.25	8.43	143.65431999999998	0.04615	GBT	10.11	0.1	1.82	0	1	6.2	0.07	5.84	1	0	0.0	20263	12.03	0.0	0.0	11.51	11.53	0.0	0	0.0	0
rs0091	6888.9	6886.9	10.29	143.6907	3.0964	GBT	0.26	0.0	1.91	1	0	0.0	0.0	0.0	0	13696	11.7	23967	11.58	12.21	12.21	12.11	12.11	2.28	0	2.4	0
rs0092	6792.5	6789.59	9.37	143.76397	4.69037	AO	0.47	0.07	1.61	0	0	0.0	0.0	0.0	0	13753	11.25	24029	11.14	10.87	10.87	10.87	10.87	5.67	0	5.94	0
rs0093	5304.8	5302.99	9.37	143.9687	4.016780000000001	ALFALFA	2.31	0.08	2.33	0	0	0.0	0.0	0.0	0	12038	11.28	22217	11.32	11.33	11.33	11.28	11.28	4.09	0	4.26	0
rs0094	5444.7	5429.24	9.23	144.02917	3.01156	ALFALFA	2.01	0.09	2.64	0	0	0.0	0.0	0.0	0	12066	11.24	22247	11.28	10.65	10.65	11.04	11.04	6.68	0	6.8	0
rs0095	4705.4	4717.91	8.29	144.11164	1.19171	ALFALFA	1.73	0.12	3.94	0	0	0.0	0.0	0.0	0	0	0.0	22680	11.44	0.0	0.0	11.25	11.25	0.0	0	3.96	0
rs0096	4760.1	4717.91	9.59	144.1474	1.11655	ALFALFA	2.66	0.14	3.86	0	0	0.0	0.0	0.0	0	12493	11.35	22680	11.44	11.3	11.3	11.25	11.25	5.14	0	3.96	0
rs0097	4674.3	4670.64	8.83	144.16601	0.40726999999999997	ALFALFA	1.68	0.07	2.77	0	0	0.0	0.0	0.0	0	0	0.0	22681	11.13	0.0	0.0	10.91	11.12	0.0	0	2.11	0
rs0098	5491.5	5489.05	9.29	144.16969	2.70357	GBT	0.54	0.05	0.94	0	0	0.0	0.0	0.0	0	13676	11.24	23948	11.11	10.55	10.55	10.96	10.96	7.96	0	7.68	0
rs0099	6712.0	6713.1	8.51	144.24945	4.52015	ALFALFA	0.62	0.06	2.11	0	0	0.0	0.0	0.0	0	0	0.0	26210	11.03	0.0	0.0	11.1	11.21	0.0	0	5.09	0
rs0100	7037.8	7065.06	11.05	144.43308000000002	2.75908	ALFALFA	1.3	0.11	2.77	0	1	2.13	0.21	0.43	2	10321	12.83	20439	12.77	12.22	12.22	12.15	12.15	0.0	0	0.0	0
rs0101	6618.8	6609.01	10.85	144.43759	2.7476	ALFALFA	1.15	0.08	2.7	0	0	0.0	0.0	0.0	0	12206	12.43	22390	12.38	13.01	13.01	12.95	12.95	0.0	0	0.0	0
rs0102	7117.7	7065.06	9.03	144.44686000000002	2.73601	ALFALFA	0.57	0.07	2.77	0	0	0.0	0.0	0.0	0	10321	12.83	20439	12.77	12.22	12.22	12.15	12.15	0.0	0	0.0	0
rs0103	6555.7	6558.73	9.79	144.48956	3.4629800000000004	ALFALFA	2.85	0.11	2.8	0	0	0.0	0.0	0.0	0	12497	11.48	22686	11.56	11.95	11.95	11.91	11.91	2.58	0	2.68	0
rs0104	6452.2	6421.41	9.47	144.54505	3.07896	GBT	0.08	0.0	0.71	1	0	0.0	0.0	0.0	0	13692	11.3	23965	11.09	12.29	12.29	12.25	12.25	1.23	0	1.28	0
rs0105	6918.6	6754.23	8.93	144.56213	4.1527199999999995	ALFALFA	2.01	0.12	2.4	0	1	1.64	0.08	1.07	1	13464	11.84	23702	11.84	11.16	11.17	11.16	11.16	3.56	0	3.88	0
rs0106	6686.3	6754.23	8.77	144.57291	4.08062	ALFALFA	5.91	0.13	2.57	0	1	2.05	0.07	2.05	1	0	0.0	23702	11.84	0.0	0.0	11.15	11.16	0.0	0	3.88	0
rs0107	6693.4	6754.23	10.51	144.57644	4.09427	ALFALFA	5.91	0.13	2.57	0	1	5.21	0.12	3.08	1	13464	11.84	23702	11.84	11.16	11.16	11.16	11.16	3.56	0	3.88	0
rs0108	6615.0	6754.23	9.07	144.59931	4.01471	ALFALFA	1.11	0.07	2.31	0	1	1.11	0.08	0.2	1	13464	11.84	23702	11.84	11.16	11.16	11.16	11.16	3.56	0	3.88	0
rs0109	6829.1	6830.02	10.41	144.62787	2.57338	ALFALFA	1.0	0.11	2.73	0	0	0.0	0.0	0.0	0	12266	11.99	22450	11.94	12.65	12.65	12.59	12.59	0.7	0	0.74	0
rs0111	5537.0	5523.11	8.75	144.7537	4.721480000000001	ALFALFA	0.79	0.07	2.23	0	0	0.0	0.0	0.0	0	0	0.0	26212	11.03	0.0	0.0	10.63	10.85	0.0	0	7.28	0
rs0112	4751.5	4744.46	10.75	145.15155	3.5770699999999995	ALFALFA	1.97	0.12	2.5	0	0	0.0	0.0	0.0	0	12416	12.26	22600	12.2	11.32	11.32	11.31	11.31	0.0	0	0.0	0
rs1322	7171.2	7173.5	8.93	145.31611	1.52326	ALFALFA	0.55	0.12	3.08	0	0	0.0	0.0	0.0	0	12339	11.15	26214	11.01	11.6	11.6	11.49	11.49	4.33	0	4.56	0
rs0113	6422.5	6415.3	10.31	145.47958	1.31885	ALFALFA	0.84	0.11	3.15	0	0	0.0	0.0	0.0	0	12517	11.72	22707	11.65	11.32	11.32	11.22	11.22	6.06	0	6.18	0
rs0114	7010.7	7010.84	9.37	145.61328	3.34683	ALFALFA	1.58	0.06	2.45	0	0	0.0	0.0	0.0	0	12504	11.28	22693	11.35	11.03	11.03	11.12	11.12	3.7	0	3.89	0
rs0115	7247.5	7247.35	8.27	145.65783000000002	1.30067	ALFALFA	1.15	0.09	2.9	0	0	0.0	0.0	0.0	0	0	0.0	20450	11.2	0.0	0.0	11.06	11.06	0.0	0	5.83	0
rs0117	7035.1	7019.66	10.29	145.78194	3.43013	GBT	0.22	0.0	1.36	1	0	0.0	0.0	0.0	0	12546	11.77	22743	11.66	10.92	10.92	11.32	11.32	4.23	0	4.45	0
rs0118	5705.2	5701.7	9.07	145.78542	3.94035	ALFALFA	1.23	0.08	2.3	0	0	0.0	0.0	0.0	0	13730	11.16	24001	11.18	11.24	11.24	11.2	11.2	3.94	0	3.75	0
rs0119	6303.9	6298.63	8.57	145.82655	0.37311	ALFALFA	1.65	0.1	2.95	0	0	0.0	0.0	0.0	0	0	0.0	23854	11.23	0.0	0.0	11.86	11.86	0.0	0	2.22	0
rs0120	7022.2	6947.19	9.51	146.03908	3.40389	ALFALFA	1.25	0.08	2.26	0	0	0.0	0.0	0.0	0	12523	11.36	22714	11.36	11.04	11.04	11.65	11.65	4.87	0	5.1	0
rs0121	5803.1	5791.14	9.71	146.04331000000002	2.41019	ALFALFA	5.16	0.09	2.58	0	0	0.0	0.0	0.0	0	12664	11.45	22868	11.72	11.68	11.68	11.77	11.77	2.7	0	2.59	0
rs0122	5716.7	5721.1	8.43	146.14338	4.00177	ALFALFA	1.93	0.07	2.25	0	0	0.0	0.0	0.0	0	0	0.0	24003	11.21	0.0	0.0	11.44	11.44	0.0	0	3.24	0
rs0123	6184.4	6183.68	8.73	146.2123	4.58078	ALFALFA	0.59	0.05	2.18	0	0	0.0	0.0	0.0	0	0	0.0	26215	11.01	0.0	0.0	11.14	11.21	0.0	0	5.46	0
rs0124	5802.4	5801.72	8.79	146.2255	2.4653099999999997	ALFALFA	2.16	0.08	2.44	0	0	0.0	0.0	0.0	0	0	0.0	22868	11.72	0.0	0.0	11.77	11.77	0.0	0	2.59	0
rs0125	6295.9	6302.47	10.67	146.23174	0.06823	ALFALFA	0.61	0.0	3.28	1	0	0.0	0.0	0.0	0	10049	12.27	22716	12.19	11.76	11.76	11.9	11.9	0.0	0	0.0	0
rs0126	6284.9	6302.47	8.95	146.28295	0.06411	AO	0.43	0.02	0.38	0	1	0.29	0.03	0.26	1	10049	12.27	0	0.0	11.76	11.76	0.0	0.0	0.0	0	0.0	0
rs0127	6323.8	6302.47	9.25	146.30087	0.035460000000000005	ALFALFA	1.46	0.12	3.98	0	1	0.92	0.09	0.92	1	10049	12.27	0	0.0	11.76	11.76	0.0	0.0	0.0	0	0.0	0
rs0128	5791.5	5791.46	9.45	146.39767	4.41068	ALFALFA	1.25	0.06	2.21	0	0	0.0	0.0	0.0	0	14835	11.32	25113	11.27	10.86	10.86	11.18	11.18	4.65	0	4.45	0
rs0129	5760.3	5828.61	9.77	146.49495	3.1452	ALFALFA	2.18	0.08	2.59	0	0	0.0	0.0	0.0	0	12801	12.3	23010	12.37	11.87	11.87	11.9	11.9	0.0	0	0.0	0
rs0130	5947.3	5828.61	8.53	146.50916	3.1343799999999997	ALFALFA	1.58	0.08	2.59	0	0	0.0	0.0	0.0	0	0	0.0	23010	12.37	0.0	0.0	11.9	11.9	0.0	0	0.0	0
rs0131	4810.5	4795.02	10.77	146.51465	4.40355	ALFALFA	0.38	0.0	2.36	1	0	0.0	0.0	0.0	0	12809	12.26	23018	12.21	11.18	11.18	11.13	11.13	0.0	0	0.0	0
rs0132	5890.8	5890.8	8.23	146.5307	0.78193	ALFALFA	1.04	0.08	3.05	0	0	0.0	0.0	0.0	0	0	0.0	20095	11.08	0.0	0.0	12.7	12.7	0.0	0	2.96	0
rs0133	5824.0	5828.61	10.19	146.58438	3.0458	ALFALFA	12.01	0.14	2.63	0	1	8.8	0.11	8.8	1	12801	12.3	23010	12.37	11.87	11.87	11.9	11.9	0.0	0	0.0	0
rs0134	5801.1	5828.61	10.59	146.58784	3.0714200000000003	ALFALFA	12.01	0.14	2.63	0	1	12.25	0.15	8.77	1	12801	12.3	23010	12.37	11.87	11.87	11.9	11.9	0.0	0	0.0	0
rs0135	5883.1	5916.32	9.75	146.74967	2.56149	ALFALFA	1.65	0.07	2.5	0	0	0.0	0.0	0.0	0	12926	11.33	23143	11.32	12.13	12.13	12.2	12.2	2.0	0	1.96	0
rs0136	5825.5	5836.54	10.43	146.80688999999998	0.66565	ALFALFA	0.88	0.15	4.17	0	0	0.0	0.0	0.0	0	12347	11.72	22727	11.6	11.53	11.53	11.72	11.72	3.13	0	3.08	0
rs0137	5836.8	5836.54	9.13	146.84221000000002	0.74095	AO	0.08	0.01	0.33	0	0	0.0	0.0	0.0	0	12347	11.72	0	0.0	11.53	11.53	0.0	0.0	3.13	0	0.0	0
rs0141	5831.1	5903.48	8.93	147.04105	2.53937	ALFALFA	2.31	0.09	2.49	0	1	1.56	0.12	0.31	1	12536	11.12	22731	11.21	11.92	11.92	11.99	11.99	2.57	0	2.5	0
rs0142	7029.8	7028.4	9.79	147.06763	3.9058599999999997	ALFALFA	1.02	0.09	2.35	0	0	0.0	0.0	0.0	0	12970	11.53	23188	11.46	11.06	11.06	11.45	11.45	8.18	0	8.58	0
rs0143	6282.6	6287.35	9.65	147.17147	3.37474	ALFALFA	1.19	0.08	2.39	0	0	0.0	0.0	0.0	0	12984	11.43	23202	11.37	11.67	11.67	11.76	11.76	2.57	0	2.47	0
rs0145	5855.2	5833.56	9.41	147.19285	0.27187	GBT	0.42	0.04	0.95	0	1	0.39	0.02	0.37	1	13601	11.3	23850	11.38	11.67	11.67	11.32	11.32	3.43	0	3.61	0
rs0146	5979.9	5945.01	9.07	147.24864	2.4627	ALFALFA	2.38	0.07	2.58	0	1	4.09	0.09	4.09	1	13010	11.76	23229	11.97	11.32	11.32	11.43	11.43	3.36	0	3.27	0
rs0147	5935.5	5937.36	9.29	147.25281999999999	4.30315	ALFALFA	2.41	0.08	2.38	0	0	0.0	0.0	0.0	0	13002	11.25	23220	11.35	11.29	11.29	11.12	11.12	5.01	0	4.82	0
rs0148	5942.0	5945.01	10.27	147.28642	2.48108	GBT	8.43	0.11	1.99	0	1	8.31	0.1	7.85	1	13010	11.76	23229	11.97	11.32	11.32	11.43	11.43	3.36	0	3.27	0
rs0149	5803.0	5833.56	8.97	147.30546999999999	0.21761999999999998	GBT	0.34	0.02	0.7	0	0	0.0	0.0	0.0	0	13601	11.3	0	0.0	11.67	11.84	0.0	0.0	3.43	0	0.0	0
rs1323	7226.4	7229.43	8.63	147.31042	3.7850599999999996	ALFALFA	0.68	0.08	2.6	0	0	0.0	0.0	0.0	0	0	0.0	20459	11.1	0.0	0.0	11.85	11.85	0.0	0	9.38	0
rs1324	7147.3	7031.07	10.37	147.36106	4.00321	ALFALFA	0.54	0.07	2.46	0	0	0.0	0.0	0.0	0	13044	11.9	23266	11.79	11.02	11.02	11.64	11.64	9.06	0	9.5	0
rs0150	5861.2	5851.11	8.81	147.56018	4.19907	ALFALFA	1.21	0.08	2.4	0	0	0.0	0.0	0.0	0	0	0.0	24010	11.15	0.0	0.0	10.93	10.93	0.0	0	5.09	0
rs0151	7071.6	7071.42	8.69	147.64313	3.54121	ALFALFA	1.6	0.08	2.33	0	0	0.0	0.0	0.0	0	0	0.0	23984	11.28	0.0	0.0	11.44	11.44	0.0	0	9.92	0
rs0153	4887.7	4906.95	9.19	147.74639	4.2733099999999995	ALFALFA	2.47	0.08	2.38	0	0	0.0	0.0	0.0	0	12545	11.31	22741	11.31	11.23	11.23	11.17	11.17	3.78	0	3.92	0
rs1325	7247.2	7269.09	8.97	147.85995	1.9306900000000002	ALFALFA	1.69	0.09	2.55	0	1	1.51	0.07	0.97	1	13649	11.14	23912	11.14	11.33	11.33	10.56	10.56	4.85	0	4.74	0
rs0155	5984.9	6003.24	10.45	147.89581	1.1121299999999998	ALFALFA	0.53	0.0	4.08	1	0	0.0	0.0	0.0	0	12547	12.19	22744	12.12	11.54	11.54	11.5	11.5	0.0	0	0.0	0
rs0156	5990.2	5991.74	9.35	147.89727	0.43488999999999994	ALFALFA	2.08	0.1	2.93	0	0	0.0	0.0	0.0	0	13529	11.27	23775	11.34	11.76	11.76	11.73	11.73	2.61	0	2.82	0
rs0159	5890.9	6003.24	10.45	148.04764	1.09551	GBT	0.52	0.0	3.22	1	0	0.0	0.0	0.0	0	12547	12.19	22744	12.12	11.54	11.54	11.5	11.5	0.0	0	0.0	0
rs0162	4819.2	4839.06	10.57	148.12345	2.1545	ALFALFA	2.99	0.13	2.63	0	1	2.95	0.18	0.59	2	13186	11.94	23412	11.89	10.95	10.95	10.9	10.9	8.28	0	8.59	0
rs0163	6124.6	6113.77	9.59	148.32056	1.9778200000000001	ALFALFA	0.85	0.07	2.76	0	0	0.0	0.0	0.0	0	12551	11.37	22748	11.28	11.49	11.49	11.51	11.51	3.72	0	3.99	0
